attId,attCombo,Y-Cord,X-Cord,TeamId,attResult,InSys,pdfRate,attPace
TRU-CAR,V4,58,83,,,FALSE,,
TRU-CAR,PG,75,66,,-,FALSE,-,P
TRU-CAR,V4,69,77,,#,TRUE,#,H
ANA-ADO,PG,67,66,,,FALSE,@,
TRU-CAR,PG,80,68,,,FALSE,,
TRU-CAR,PG,55,85,,#,TRUE,+,H
TRU-CAR,PG,76,65,,,FALSE,@,
ANA-ADO,PG,82,60,,,,,
TRU-CAR,PG,77,59,,,,,
TRU-CAR,PG,73,70,,,,,
ANA-ADO,V4,55,70,,,,,
ANA-ADO,PG,75,54,,,,,
TRU-CAR,V4,78,40,,,,,
ANA-ADO,V4,69,48,,,,,
ANA-ADO,PG,81,17,,,,,
ANA-ADO,PG,81,29,,,,,
ANA-ADO,PG,65,17,,,,,
TRU-CAR,PG,78,38,,,,,
ANA-ADO,PG,79,20,,,,,
ANA-ADO,PG,59,17,,,,,
ANA-ADO,V4,80,34,,,,,
ANA-ADO,PG,78,23,,,,,
ANA-ADO,PG,64,75,,,,,
ANA-ADO,PG,64,72,,,,,
TRU-CAR,V4,79,46,,,,,
TRU-CAR,PG,58,83,,,,,
ANA-ADO,PG,57,84,,,,,
ANA-ADO,PG,81,50,,,,,
ANA-ADO,V4,77,18,,,,,
ANA-ADO,PG,78,17,,,,,
TRU-CAR,PG,81,42,,,,,
ANA-ADO,PG,73,82,,,,,
ANA-ADO,PG,82,17,,,,,
ANA-ADO,PG,56,16,,,,,
ANA-ADO,V4,80,14,,,,,
ANA-ADO,PG,72,87,,,,,
ANA-ADO,V4,73,27,,,,,
TRU-CAR,PG,67,78,,,,,
ANA-ADO,PG,78,66,,,,,
TRU-CAR,PG,77,16,,,,,
TRU-CAR,PG,76,80,,,,,
ANA-ADO,PG,78,74,,,,,
ANA-ADO,PG,75,10,,,,,
TRU-CAR,PG,81,52,,,,,
TRU-CAR,V4,81,46,,,,,
ANA-ADO,PG,84,48,,,,,
ANA-ADO,PG,82,23,,,,,
ANA-ADO,PG,81,20,,,,,
TRU-CAR,PG,80,29,,,,,
TRU-CAR,PG,71,80,,,,,
TRU-CAR,PG,81,23,,,,,
TRU-CAR,PG,81,27,,,,,
ANA-ADO,PG,78,15,,,,,
ANA-ADO,V4,62,82,,,,,
ANA-ADO,PG,79,16,,,,,
ANA-ADO,PG,80,42,,,,,
ANA-ADO,PG,79,12,,,,,
TRU-CAR,PG,78,55,,,,,
TRU-CAR,PG,82,45,,,,,
ANA-ADO,V4,79,22,,,,,
ANA-ADO,PG,79,78,,,,,
TRU-CAR,PG,76,72,,,,,
TRU-CAR,PG,56,82,,,,,
TRU-CAR,V4,80,33,,,,,
ANA-ADO,PG,77,78,,,,,
ANA-ADO,PG,80,24,,,,,
ANA-ADO,V4,79,24,,,,,
ANA-ADO,PG,61,70,,,,,
ANA-ADO,PG,80,30,,,,,
ANA-ADO,PG,80,16,,,,,
ANA-ADO,V4,85,48,,,,,
ANA-ADO,PG,59,18,,,,,
ANA-ADO,V4,74,26,,,,,
ANA-ADO,PG,77,13,,,,,
ANA-ADO,PG,77,51,,,,,
ANA-ADO,PG,80,30,,,,,
ANA-ADO,PG,73,80,,,,,
ANA-ADO,PG,81,40,,,,,
ANA-ADO,PG,56,86,,,,,
ANA-ADO,PG,80,54,,,,,
ANA-ADO,V4,70,75,,,,,
ANA-ADO,PG,74,13,,,,,
ANA-ADO,PG,74,47,,,,,
TRU-CAR,PG,77,69,,,,,
TRU-CAR,PG,68,65,,,,,
TRU-CAR,PG,81,43,,,,,
TRU-CAR,V4,77,53,,,,,
TRU-CAR,PG,78,25,,,,,
ANA-ADO,V4,79,30,,,,,
ANA-ADO,V4,56,90,,,,,
TRU-CAR,V4,76,68,,,,,
TRU-CAR,PG,53,85,,,,,
TRU-CAR,PG,80,28,,,,,
TRU-CAR,V4,68,84,,,,,
ANA-ADO,V4,69,70,,,,,
ANA-ADO,PG,59,81,,,,,
ANA-ADO,PG,78,25,,,,,
ANA-ADO,V4,71,73,,,,,
ANA-ADO,PG,56,85,,,,,
ANA-ADO,PG,71,16,,,,,
ANA-ADO,PG,72,65,,,,,
TRU-CAR,PG,70,76,,,,,
TRU-CAR,PG,80,38,,,,,
TRU-CAR,PG,68,79,,,,,
TRU-CAR,PG,78,26,,,,,
ANA-ADO,PG,78,40,,,,,
ANA-ADO,V4,63,26,,,,,
TRU-CAR,V4,80,23,,,,,
TRU-CAR,PG,59,52,,,,,
TRU-CAR,V4,80,37,,,,,
TRU-CAR,PG,79,40,,,,,
TRU-CAR,V4,75,81,,,,,
TRU-CAR,V4,85,70,,,,,
ANA-ADO,V4,67,23,,,,,
ANA-ADO,PG,71,74,,,,,
ANA-ADO,PG,69,61,,,,,
ANA-ADO,V4,69,74,,,,,
ANA-ADO,PG,68,29,,,,,
ANA-ADO,V4,77,18,,,,,
TRU-CAR,PG,69,67,,,,,
ANA-ADO,PG,86,50,,,,,
ANA-ADO,PG,80,22,,,,,
TRU-CAR,PG,79,86,,,,,
TRU-CAR,PG,78,27,,,,,
ANA-ADO,PG,71,12,,,,,
ANA-ADO,PG,83,14,,,,,
ANA-ADO,PG,71,73,,,,,
ANA-ADO,PG,83,27,,,,,
TRU-CAR,PG,70,52,,,,,
TRU-CAR,V4,72,49,,,,,
TRU-CAR,PG,81,11,,,,,
TRU-CAR,V4,84,29,,,,,
TRU-CAR,PG,80,28,,,,,
TRU-CAR,PG,73,52,,,,,
TRU-CAR,PG,75,64,,,,,
TRU-CAR,PG,85,38,,,,,
ANA-ADO,PG,53,89,,,,,
ANA-ADO,PG,85,69,,,,,
ANA-ADO,PG,70,36,,,,,
ANA-ADO,V4,82,28,,,,,
ANA-ADO,PG,86,70,,,,,
ANA-ADO,V4,77,63,,,,,
ANA-ADO,V4,78,24,,,,,
TRU-CAR,V4,82,82,,,,,
TRU-CAR,PG,61,67,,,,,
ANA-ADO,PG,79,39,,,,,
ANA-ADO,V4,58,20,,,,,
ANA-ADO,V4,76,59,,,,,
ANA-ADO,V4,71,75,,,,,
TRU-CAR,PG,79,19,,,,,
TRU-CAR,PG,78,29,,,,,
TRU-CAR,V4,70,51,,,,,
TRU-CAR,PG,78,26,,,,,
ANA-ADO,PG,75,34,,,,,
ANA-ADO,PG,63,24,,,,,
TRU-CAR,PG,71,46,,,,,
TRU-CAR,PG,74,18,,,,,
ANA-ADO,PG,73,73,,,,,
ANA-ADO,PG,75,53,,,,,
ANA-ADO,V4,80,59,,,,,
ANA-ADO,PG,61,64,,,,,
TRU-CAR,V4,68,24,,,,,
TRU-CAR,PG,73,29,,,,,
ANA-ADO,V4,61,24,,,,,
ANA-ADO,V4,78,48,,,,,
ANA-ADO,PG,79,28,,,,,
ANA-ADO,PG,78,24,,,,,
ANA-ADO,PG,74,22,,,,,
TRU-CAR,PG,84,23,,,,,
TRU-CAR,V4,77,24,,,,,
TRU-CAR,PG,75,71,,,,,
ANA-ADO,PG,68,73,,,,,
ANA-ADO,V4,74,78,,,,,
ANA-ADO,PG,61,23,,,,,
ANA-ADO,PG,78,31,,,,,
ANA-ADO,PG,77,17,,,,,
ANA-ADO,PG,72,60,,,,,
TRU-CAR,PG,78,29,,,,,
TRU-CAR,PG,82,19,,,,,
TRU-CAR,V4,68,25,,,,,
ANA-ADO,PG,78,37,,,,,
ANA-ADO,PG,74,18,,,,,
ANA-ADO,PG,77,12,,,,,
TRU-CAR,V4,78,43,,,,,
TRU-CAR,PG,74,77,,,,,
ANA-ADO,PG,79,20,,,,,
ANA-ADO,PG,69,72,,,,,
ANA-ADO,PG,58,87,,,,,
ANA-ADO,PG,78,21,,,,,
TRU-CAR,PG,78,42,,,,,
TRU-CAR,PG,59,86,,,,,
TRU-CAR,PG,78,25,,,,,
TRU-CAR,PG,82,37,,,,,
TRU-CAR,PG,78,27,,,,,
TRU-CAR,PG,78,31,,,,,
